,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
370,Software Developer- Java/ Python/ SQL,Decision Point,Gurgaon,1-3 Yrs,"('IT Skills', 'Java', 'Python', 'Software Development', 'Testing', 'Angularjs', 'Javascript', 'Jenkins')",30 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-developer-java-python-sql-decision-point-gurgaon-1-to-3-years-300920900285?src=jobsearchDesk&sid=16075354423954925&xp=11&px=19,HOT JOB,Should ensure designs follow specifications
371,Sr.Full Stack Developer,FinancePeer,Hyderabad,5-7 Yrs,"('Database architecture', 'HTML;Javascript', 'Front end', 'GIT', 'Web technologies', 'RDBMS', 'Django', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-full-stack-developer-financepeer-hyderabad-secunderabad-5-to-7-years-300920500269?src=jobsearchDesk&sid=16075354423954925&xp=12&px=19,NULL,Responsibilities and Duties : Work closely with the founders to spec and implement core...
372,Lead Software Engineer,Mintel,Remote,4-8 Yrs,"('Linux', 'Postgresql', 'MySQL', 'Agile', 'PHP', 'Perl', 'HTTP', 'Apache')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-lead-software-engineer-mintel-remote-4-to-8-years-291020500621?src=jobsearchDesk&sid=16075354423954925&xp=13&px=19,NULL,You will ideally have 4+ years of professional experience in software development inclu...
373,Senior Software Engineer,LogicMonitor,Pune,6-11 Yrs,"('IT Skills', 'Python', 'PHP', 'Software Development', 'Testing', 'Cloud', 'AWS', 'Linux')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-logicmonitor-pune-6-to-11-years-281020500580?src=jobsearchDesk&sid=16075354423954925&xp=14&px=19,NULL,"This includes building new component, implementing new features as required in existing..."
374,Java Developer,Cybage,Pune,5-10 Yrs,"('IT Skills', 'Java', 'Testing', 'Oracle', 'AWS', 'Version control', 'Managed services', 'GIT')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-java-developer-cybage-software-pvt-ltd-pune-5-to-10-years-280920500922?src=jobsearchDesk&sid=16075354423954925&xp=15&px=19,NULL,Project estimation and handling pre-sales calls when required Hands on experience for 5...
375,Urgent Hiring For Plsql Developer,Versetal Tech Solutions Pvt. Ltd.,"Chennai, Bengaluru, Gurgaon, Hyderabad",4-9 Yrs,"('Java', 'GIT', 'plsql developer', 'Oracle SQL', 'SQL Tuning', 'Shell Scripting', 'PLSQL', 'Perl')",12 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-urgent-hiring-for-plsql-developer-versetal-tech-solutions-pvt-ltd-chennai-bengaluru-bangalore-gurgaon-hyderabad-secunderabad-4-to-9-years-271120004665?src=jobsearchDesk&sid=16075354423954925&xp=16&px=19,NULL,"- Excellent knowledge on PL/SQL , Apex and Python - Good knowledge on Oracle SQL Tuning..."
376,Senior Software Python Developer- Product Development,India-Israel Innovation HUB-TeamScale- SATC Marketing India Pvt Ltd,Gurgaon(Udyog Vihar),5-10 Yrs,"('JAVA', 'Restful API', 'LAYOUTS', 'python development', 'FLOWCHARTS', 'Spring Boot', 'JIRA', 'SDLC')",2 DAYS AGO,2020-12-09,"12,00,000 - 22,00,000 PA.",https://www.naukri.com/job-listings-senior-software-python-developer-product-development-india-israel-innovation-hub-teamscale-satc-marketing-india-pvt-ltd-gurgaon-5-to-10-years-271120001086?src=jobsearchDesk&sid=16075354423954925&xp=17&px=19,PREMIUM,of solid Python development experience
377,Software Test Engineer,Xoriant Solutions Pvt Ltd,Pune,6-12 Yrs,"('IT Skills', 'Python', 'Testing', 'Cloud', 'Jenkins', 'Azure', 'automation framework', 'VMware')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-test-engineer-xoriant-solutions-pvt-ltd-pune-6-to-12-years-271020501585?src=jobsearchDesk&sid=16075354423954925&xp=18&px=19,NULL,Good communication skills to crisply and accurately report program status QA Team at Xo...
378,Senior Software Engineer,Xoriant Solutions Pvt Ltd,Pune,4-8 Yrs,"('IT Skills', 'Python', 'Software Development', 'Sharepoint', 'Aix', 'SAN', 'Multithreading', 'Linux')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-xoriant-solutions-pvt-ltd-pune-4-to-8-years-271020501584?src=jobsearchDesk&sid=16075354423954925&xp=19&px=19,NULL,Good communication skills to crisply and accurately report program statusThe software i...
379,Senior Software Engineer,AMETEK Inc,Bengaluru,3-5 Yrs,"('RTOS', 'C++', 'Linux', 'UML', 'Eclipse', 'Windows', 'VB', 'microsoft')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-ametek-inc-bengaluru-bangalore-3-to-5-years-271020501052?src=jobsearchDesk&sid=16075354423954925&xp=20&px=19,NULL,This includes the development of next generation technologies that support the shift to...
